datetimeValues,predicted,cumulativeSum,measured
1987-04-17 03:00:00+00:00,0.021772627896808144,0.4601453227887137,0.0
1987-04-17 04:00:00+00:00,0.3254357497952536,0.7855810725839673,0.0
1987-04-17 05:00:00+00:00,0.7978807214622226,1.58346179404619,0.0
1987-04-17 06:00:00+00:00,1.0215875962716279,2.605049390317818,0.0
1987-04-17 07:00:00+00:00,-0.08449438831742245,2.5205550020003953,0.0
1987-04-17 08:00:00+00:00,0.036287713161346574,2.556842715161742,0.0
1987-04-17 09:00:00+00:00,0.03628771316134677,2.5931304283230885,0.0
1987-04-17 10:00:00+00:00,0.03084455618714474,2.6239749845102334,0.0
1987-04-17 11:00:00+00:00,0.021772627896808006,2.6457476124070416,0.0
1987-04-17 12:00:00+00:00,0.019958242238740764,2.6657058546457826,0.0
