datetimeValues,measuredValues,predictedValues
1987-05-09 08:00:00+00:00,4165.0,1688.4541220914662
1987-05-09 09:00:00+00:00,4054.0,1579.7456596304519
1987-05-09 10:00:00+00:00,776.0,1411.7730930677512
1987-05-09 11:00:00+00:00,0.0,1268.4533473253905
1987-05-09 12:00:00+00:00,0.0,560.2181714552762
1987-05-09 13:00:00+00:00,0.0,1054.7798416206176
1987-05-09 14:00:00+00:00,0.0,674.3361675961523
1987-05-09 15:00:00+00:00,0.0,-397.1054367166429
1987-05-09 16:00:00+00:00,0.0,-366.0169936851853
1987-05-09 17:00:00+00:00,0.0,-390.0782552373381
1987-05-09 18:00:00+00:00,0.0,-385.1755814778835
1987-05-09 19:00:00+00:00,0.0,-308.88028417938915
1987-05-09 20:00:00+00:00,0.0,-294.628123638302
1987-05-09 21:00:00+00:00,0.0,76.07150054115996
1987-05-09 22:00:00+00:00,0.0,913.7307006341998
1987-05-09 23:00:00+00:00,0.0,2368.3594810576387
1987-05-10 00:00:00+00:00,0.0,1694.6755147697504
1987-05-10 01:00:00+00:00,1639.0,1134.5347273479647
1987-05-10 02:00:00+00:00,3916.0,615.4198269694189
1987-05-10 03:00:00+00:00,3916.0,1263.9741160948988
1987-05-10 04:00:00+00:00,4038.0,1268.8561681457404
1987-05-10 05:00:00+00:00,4087.0,1307.5438618372564
1987-05-10 06:00:00+00:00,4054.0,1366.349503477929
1987-05-10 07:00:00+00:00,3967.0,1491.3079659389387
1987-05-10 08:00:00+00:00,4011.0,4.421855384350238
1987-05-10 09:00:00+00:00,3916.0,554.077597807065
1987-05-10 10:00:00+00:00,0.0,1035.9071147592267
1987-05-10 11:00:00+00:00,0.0,-250.62622107417823
1987-05-10 12:00:00+00:00,0.0,-177.04616973962857
1987-05-10 13:00:00+00:00,0.0,-165.38651450894358
1987-05-10 14:00:00+00:00,0.0,-161.20273236477533
1987-05-10 15:00:00+00:00,0.0,-331.680826850839
1987-05-10 16:00:00+00:00,0.0,-192.08419394256362
1987-05-10 17:00:00+00:00,0.0,-196.91669082918597
1987-05-10 18:00:00+00:00,0.0,-207.05115170841418
1987-05-10 19:00:00+00:00,0.0,-129.11315174065334
1987-05-10 20:00:00+00:00,0.0,-93.37345332165296
1987-05-10 21:00:00+00:00,0.0,75.63625968611501
1987-05-10 22:00:00+00:00,0.0,150.92401834768316
1987-05-10 23:00:00+00:00,0.0,342.0820593382938
1987-05-11 00:00:00+00:00,0.0,979.9647864170174
1987-05-11 01:00:00+00:00,3047.0,1366.2391166536615
1987-05-11 02:00:00+00:00,3727.0,1602.408268164696
1987-05-11 03:00:00+00:00,3727.0,1463.147905671879
1987-05-11 04:00:00+00:00,3882.0,1053.4558441972558
1987-05-11 05:00:00+00:00,3994.0,647.6562323872504
1987-05-11 06:00:00+00:00,3977.0,373.96857865568745
1987-05-11 07:00:00+00:00,3994.0,425.99866277175624
1987-05-11 08:00:00+00:00,3899.0,504.89200314340724
1987-05-11 09:00:00+00:00,3854.0,824.1256195803334
1987-05-11 10:00:00+00:00,2880.0,1261.363322054358
1987-05-11 11:00:00+00:00,0.0,941.411601878515
1987-05-11 12:00:00+00:00,0.0,41.40596301174992
1987-05-11 13:00:00+00:00,0.0,-21.53963550021726
1987-05-11 14:00:00+00:00,0.0,28.119564956276008
1987-05-11 15:00:00+00:00,0.0,85.79093404706833
1987-05-11 16:00:00+00:00,0.0,107.74596361809563
1987-05-11 17:00:00+00:00,0.0,65.9333300849608
1987-05-11 18:00:00+00:00,0.0,168.85526434534222
1987-05-11 19:00:00+00:00,0.0,159.5995561933583
1987-05-11 20:00:00+00:00,0.0,82.66579790862306
1987-05-11 21:00:00+00:00,0.0,220.4008209979325
1987-05-11 22:00:00+00:00,0.0,204.0865883977158
1987-05-11 23:00:00+00:00,0.0,722.6961161699686
1987-05-12 00:00:00+00:00,0.0,1623.6981880126305
1987-05-12 01:00:00+00:00,0.0,1324.326990739173
1987-05-12 02:00:00+00:00,0.0,1746.739611356782
1987-05-12 03:00:00+00:00,0.0,923.4235895899042
1987-05-12 04:00:00+00:00,2347.0,839.6387167187222
1987-05-12 05:00:00+00:00,3633.0,836.409485488221
1987-05-12 06:00:00+00:00,2165.0,916.8887167187281
1987-05-12 07:00:00+00:00,0.0,732.8189709763656
1987-05-12 08:00:00+00:00,0.0,759.5482022068654
1987-05-12 09:00:00+00:00,0.0,-48.264104101616795
1987-05-12 10:00:00+00:00,0.0,25.15282082040403
1987-05-12 11:00:00+00:00,0.0,176.0697457424203
1987-05-12 12:00:00+00:00,0.0,251.5282082034314
1987-05-12 13:00:00+00:00,0.0,201.22256656275658
1987-05-12 14:00:00+00:00,0.0,213.7989769729238
1987-05-12 15:00:00+00:00,0.0,251.52820820342822
1987-05-12 16:00:00+00:00,0.0,314.4102602542712
1987-05-12 17:00:00+00:00,0.0,352.1394914847747
1987-05-12 18:00:00+00:00,0.0,339.5630810746052
1987-05-12 19:00:00+00:00,0.0,188.64615615258208
1987-05-12 20:00:00+00:00,0.0,171.59051451191044
1987-05-12 21:00:00+00:00,0.0,154.76410410174094
1987-05-12 22:00:00+00:00,0.0,-222.94963671512232
1987-05-12 23:00:00+00:00,0.0,-18.02104536900842
1987-05-13 00:00:00+00:00,0.0,144.40752218762464
1987-05-13 01:00:00+00:00,0.0,-150.91692492195534
1987-05-13 02:00:00+00:00,0.0,-167.6854721355112
1987-05-13 03:00:00+00:00,0.0,-217.99111377618192
1987-05-13 04:00:00+00:00,0.0,140.62461261703402
1987-05-13 05:00:00+00:00,0.0,815.9651271288894
1987-05-13 06:00:00+00:00,0.0,828.5415375390583
1987-05-13 07:00:00+00:00,0.0,305.4443583593893
1987-05-13 08:00:00+00:00,0.0,-150.91692492195853
1987-05-13 09:00:00+00:00,0.0,-138.34051451179266
1987-05-13 10:00:00+00:00,0.0,-37.729231230443474
1987-05-13 11:00:00+00:00,0.0,-12.979231230448931
1987-05-13 12:00:00+00:00,0.0,-4.8820520507847505
1987-05-13 13:00:00+00:00,0.0,-4.882052050785205
1987-05-13 14:00:00+00:00,0.0,58.95548668752508
1987-05-13 15:00:00+00:00,0.0,155.98338498445764
1987-05-13 16:00:00+00:00,0.0,212.766769968865
1987-05-13 17:00:00+00:00,0.0,295.9501549532688
1987-05-13 18:00:00+00:00,0.0,389.3169249220746
1987-05-13 19:00:00+00:00,0.0,375.91692492207267
1987-05-13 20:00:00+00:00,0.0,402.1335399376758
1987-05-13 21:00:00+00:00,0.0,529.0836948908891
1987-05-13 22:00:00+00:00,0.0,545.944823219023
1987-05-13 23:00:00+00:00,0.0,492.43918157835697
1987-05-14 00:00:00+00:00,0.0,439.74482321902906
1987-05-14 01:00:00+00:00,0.0,165.5222566563316
1987-05-14 02:00:00+00:00,0.0,366.7989769729338
1987-05-14 03:00:00+00:00,0.0,382.6476200068179
1987-05-14 04:00:00+00:00,0.0,1005.7003099065
1987-05-14 05:00:00+00:00,0.0,1789.7063411516463
1987-05-14 06:00:00+00:00,0.0,1696.4012155129612
